,Year,Quarter,Subscribers in Millions,Total,Men..20.years.and.over,Women..20.years.and.over,X16.to.19.years.old,White,Black.or.African.American,Asian,Hispanic.or.Latino,Growth
19,2011,Q3,21.5,8.8,8.6,7.8,24.2,7.9,14.6,7.4,11.3,0
29,2011,Q4,21.6,8.3,7.7,7.6,23.6,7.4,13.6,6.7,10.7,0.465
1,2012,Q1,24.43,8.2,7.6,7.4,25,7.4,13.3,5.4,10.3,13.102
10,2012,Q2,25.71,8.2,7.7,7.4,23.6,7.3,14.2,5.9,10.2,5.239
20,2012,Q3,27.49,7.8,7.2,7.1,23.9,6.9,14.1,4.9,10,6.923
30,2012,Q4,30.36,8,7.5,7.2,23.7,7.1,13.7,6.4,9.7,10.44
2,2013,Q1,34.24,7.6,7.2,6.7,24.4,6.7,13.3,5.3,9,12.78
11,2013,Q2,35.63,7.3,7,6.3,23.3,6.5,12.6,5.3,9.4,4.059
21,2013,Q3,38.01,7.2,6.9,6.3,22.2,6.3,12.8,5.4,9.1,6.68
31,2013,Q4,41.43,6.6,6.2,5.8,20.4,5.7,12.1,4.7,8.3,8.997
3,2014,Q1,46.14,6.2,5.9,5.6,19.4,5.3,11.6,5.9,7.2,11.368
12,2014,Q2,47.99,6.2,5.7,5.6,20.3,5.3,11.6,4.2,7.7,4.009
22,2014,Q3,50.65,5.7,5.2,5.4,18.7,4.9,10.6,5.1,6.8,5.543
32,2014,Q4,54.48,5.7,5.3,5,18.5,4.9,10.3,4,6.7,7.562
4,2015,Q1,59.62,5.4,5,5,17.2,4.7,9.7,4.4,6.8,9.435
13,2015,Q2,62.71,5.2,4.8,4.8,16.4,4.5,9.1,3.9,6.9,5.183
23,2015,Q3,66.02,5,4.7,4.6,15.9,4.4,9,3.5,6.3,5.278
33,2015,Q4,70.84,4.8,4.3,4.5,15.9,4.2,8.5,3.6,5.9,7.301
5,2016,Q1,77.71,5.1,4.7,4.6,16.1,4.4,8.8,3.8,6.2,9.698
14,2016,Q2,79.9,4.8,4.7,4.1,15.2,4.2,8.2,3.8,5.4,2.818
24,2016,Q3,83.28,4.9,4.6,4.4,15.8,4.4,8.5,3.4,5.7,4.23
34,2016,Q4,89.09,4.7,4.2,4.3,14.9,4.2,7.4,3.7,5.8,6.976
6,2017,Q1,94.36,4.5,4,4.2,14.9,3.9,7.8,3.3,5.2,5.915
15,2017,Q2,99.04,4.3,4,3.9,12.1,3.7,7.2,3.8,5.1,4.96
25,2017,Q3,104.02,4.1,3.8,3.7,14.2,3.6,7.6,3,5,5.028
35,2017,Q4,110.64,4,3.7,3.6,14,3.5,7.5,3,4.9,6.364
7,2018,Q1,118.9,4,3.8,3.6,13.3,3.6,6.5,2.9,4.8,7.465
16,2018,Q2,124.35,3.8,3.4,3.5,12,3.3,6.4,3.1,4.5,4.584
26,2018,Q3,130.42,3.8,3.5,3.4,12.5,3.3,6.4,3.1,4.4,4.881
36,2018,Q4,139.26,4,3.6,3.6,13.2,3.5,6.9,3,4.8,6.778
8,2019,Q1,148.86,3.7,3.5,3.2,13.4,3.2,6.6,2.3,4.1,6.893
17,2019,Q2,151.56,3.6,3.4,3.3,12,3.3,5.6,2.8,4.4,1.814
27,2019,Q3,158.33,3.6,3.3,3.2,12.6,3.3,5.6,2.9,4.2,4.467
37,2019,Q4,167.09,3.5,3.1,3.2,12.6,3,6.1,3.1,4.3,5.533
9,2020,Q1,182.86,14.8,13.1,15.5,32.1,14.1,16.7,14.5,18.9,9.438
18,2020,Q2,192.95,10.2,9.4,10.4,19.1,9.2,14.4,11.9,12.7,5.518
28,2020,Q3,195.15,6.9,6.7,6.5,14,6,10.8,7.6,8.8,1.14
38,2020,Q4,203.66,6.3,6,6,14.8,5.7,9.2,6.6,8.6,4.361
